,Unnamed: 0,AO,BE
1907,1907.0,Santfeliuenc FC,Santfeliuenc
1908,1908.0,Santos,Santos
1909,1909.0,Santos SP,Santos
1910,1910.0,Sarajevo,FK Sarajevo
1911,1911.0,Sarmiento de Resistencia,Sarmiento Resistencia
1912,1912.0,Sassuolo ,Sassuolo
1913,1913.0,Seattle Reign (W),Seattle Reign W
1914,1914.0,Seattle Sounders,Seattle Sounders
1915,1915.0,Servette,Servette Geneve FC
1916,1916.0,Sevilla FC III,Sevilla FC C
1917,1917.0,Shaanxi Changan Athletic,Shaanxi Changan
1918,1918.0,Shabab Al Ordon (JOR),Shabab Al Ordon
1919,1919.0,Shabab Al Ordon (N),Shabab Al Ordon
1920,1920.0,Shabab Alsamu,Shabab Alsamu
1921,1921.0,Shakhtyor Soligorsk,Shakhtyor Soligorsk
1922,1922.0,Shandong Luneng,Shandong Luneng
1923,1923.0,Shanghai Shenhua,Shanghai Shenhua
1924,1924.0,Shenzhen Ledman Renren,Shenzhen Ledman
1925,1925.0,Sibir Novosibirsk 2,Sibir 2
1926,1926.0,Siroki Brijeg,Siroki Brijeg
1927,1927.0,Skeid,Skeid
1928,1928.0,Skiljebo SK,Skiljebo
1929,1929.0,Skive,Skive
1930,1930.0,Slavia Sofia,Slavia Sofia
1931,1931.0,Slovan Liberec (W),Liberec W
1932,1932.0,Sokol Saratov,Saratov
1933,1933.0,Sokol Sieniawa,Sokol Sieniawa
1934,1934.0,Solvesborgs GoIF,Solvesborgs
1935,1935.0,Sonsonate FC,Sonsonate
1936,1936.0,Spezia,Spezia
1937,1937.0,Sporting de Huelva (W),Huelva W
1938,1938.0,Sportivo Barracas (N),Sportivo Barracas
1939,1939.0,Sportivo Italiano,Sportivo Italiano
1940,1940.0,Sriwijaya,Sriwijaya
1941,1941.0,St Polten (Am),St. Polten (Am)
1942,1942.0,St. Pauli,St. Pauli
1943,1943.0,Stabaek 2,Stabaek 2
1944,1944.0,Stallion FC,Stallion
1945,1945.0,Steinkjer Fk,Steinkjer
1946,1946.0,Stellenbosch,Stellenbosch
1947,1947.0,Sumy,Sumy
1948,1948.0,Sutton United,Sutton
1949,1949.0,Suzhou Dongwu,Suzhou Dongwu
1950,1950.0,Swit Nowy Dwor Mazowiecki,Swit
1951,1951.0,TJ Sokol Zivanice,Zivanice
1952,1952.0,TPS Turku (W),TPS W
1953,1953.0,TS Sokol Aleksandrow Lodzki,Sokol Aleksandrow L.
1954,1954.0,Talleres Cordoba,Talleres Cordoba
1955,1955.0,Tampico Madero,Tampico Madero
1956,1956.0,Tartu JK Welco,Tartu Welco
1957,1957.0,Telstar,Telstar
1958,1958.0,Tertnes Fotball,Tertnes
1959,1959.0,Thes Sport Tessenderlo,Thes Sport
1960,1960.0,Thisted,Thisted FC
1961,1961.0,Tianjin Teda,Tianjin Teda
1962,1962.0,Tobol Kostanay,Tobol
1963,1963.0,Torns IF,Torns
1964,1964.0,Torpedo Vladimir,Vladimir
1965,1965.0,Triglav Kranj,Triglav
1966,1966.0,Tromsdalen,Tromsdalen
1967,1967.0,Trujillanos FC,Trujillanos
1968,1968.0,Tsarsko Selo,Tsarsko Selo
1969,1969.0,Tus Bad Gleichenberg,Bad Gleichenberg
1970,1970.0,Twente Enschede,Twente
1971,1971.0,UA Horta,Horta
1972,1972.0,UCAM Murcia B,UCAM Murcia B
1973,1973.0,UCAM Murcia CF,UCAM Murcia
1974,1974.0,UD San Fernando,San Fernando
1975,1975.0,UD San Sebastian Reyes,San Sebastian Reyes
1976,1976.0,UE Sant Andreu,Sant Andreu
1977,1977.0,UMF Grindavik,Grindavik
1978,1978.0,US Quevilly Rouen,Quevilly Rouen
1979,1979.0,US Tataouine,US Tataouine
1980,1980.0,USC Landhaus Austria Wien (W),Landhaus W
1981,1981.0,Ubon UMT United,Ubon
1982,1982.0,Ubuntu Cape Town,Ubuntu Cape Town
1983,1983.0,Ufa U21,Ufa U21
1984,1984.0,Ullern,Ullern
1985,1985.0,Ullern Fc,Ullern
1986,1986.0,Umea,Umea FC
1987,1987.0,Umm Salal,Umm-Salal
1988,1988.0,Unia Skierniewice,Skierniewice
1989,1989.0,Union Comercio,Union Comercio
1990,1990.0,Union Huaral,Huaral
1991,1991.0,Union Viera CF,Union Viera
1992,1992.0,Union de Santa Fe,Union de Santa Fe
1993,1993.0,Unionistas De Salamanca,Unionistas
1994,1994.0,Universidad Cesar Vallejo,Cesar Vallejo
1995,1995.0,Ural Sverdlovsk Oblast U21,Ural U21
1996,1996.0,Urawa Red Diamonds (W),Urawa W
1997,1997.0,Usti nad Labem,Usti nad Labem
1998,1998.0,V-Varen Nagasaki,V-Varen Nagasaki
1999,1999.0,VV Alkmaar (W),VV Alkmaar W
2000,2000.0,Vaduz,Vaduz
2001,2001.0,Valbo FF,Valbo FF
2002,2002.0,Valencia,Valencia
2003,2003.0,Valur Reykjavik,Valur
2004,2004.0,Vanersborgs IF,Vanersborgs IF
2005,2005.0,Vanlose,Vanlose
2006,2006.0,Varbergs BoIS FC,Varbergs
2007,2007.0,Vasco Da Gama RJ (N),Vasco
2008,2008.0,Velarde CF,Velarde
2009,2009.0,Velez Sarsfield,Velez Sarsfield
2010,2010.0,Vereya Stara Zagora,Vereya
2011,2011.0,Verona,Verona
2012,2012.0,Vestfossen,Vestfossen
2013,2013.0,Vfb Hohenems,Hohenems
2014,2014.0,Viareggio,Viareggio
2015,2015.0,Vihiga United,Vihiga United
2016,2016.0,Viljandi JK Tulevik,Tulevik
2017,2017.0,Villa Dalmine,Villa Dalmine
2018,2018.0,Villarreal,Villarreal
2019,2019.0,Virtus Entella,Entella
2020,2020.0,Vitesse,Vitesse
2021,2021.0,Vitoria Guimaraes,Guimaraes
2022,2022.0,Voluntari,Voluntari
2023,2023.0,Wacker Innsbruck (W),Wacker Innsbruck W
2024,2024.0,Wadi Degla (N),Wadi Degla
2025,2025.0,Walter Ferretti,Ferretti
2026,2026.0,Waterhouse,Waterhouse
2027,2027.0,Wisla Krakow U18,Wisla U18
2028,2028.0,Wislanie Jaskowice,Wislanie Jaskowice
2029,2029.0,Wohlen,Wohlen
2030,2030.0,Wolfsberger AC,AC Wolfsberger
2031,2031.0,Wuhan Zall,Wuhan Zall
2032,2032.0,Yaracuy,Yaracuy
2033,2033.0,Yenisey Krasnoyarsk U21,Yenisey U21
2034,2034.0,Yokohama FC,Yokohama
2035,2035.0,Yuen Long,Yuen Long
2036,2036.0,Yupanqui (N),Yupanqui
2037,2037.0,Zalaegerszegi TE,Zalaegerszegi
2038,2038.0,Zamora Barinas,Zamora
2039,2039.0,Zhenjiang Huasa,Zhenjiang Huasa
2040,2040.0,Zhetysu Taldykorgan,Zhetysu Taldykorgan
2041,2041.0,Zlin U19,FC Fastav Zlin U19
2042,2042.0,Znamya Truda Orekhovo Zuyevo,Znamya Truda
2043,2043.0,Znicz Biala Piska,Biala Piska
2044,2044.0,Zorya Luhansk,FK Zorya Luhansk
2045,2045.0,Zulia Maracaibo,Zulia
2046,2046.0,Zvezda Perm,FC Zvezda Perm
2047,2047.0,AC Bellinzona,Bellinzona
2048,2048.0,AD Carmelita,Carmelita
2049,2049.0,AFK Linkoping,AFK Linkopings
2050,2050.0,AJ Auxerre,Auxerre
2051,2051.0,ATK Kolkata,ATK
2052,2052.0,AZS UJ Krakow (W),UJ Krakow W
2053,2053.0,AaB Aalborg,Aalborg
2054,2054.0,Admira Wacker Modling Juniors,Admira (Am)
2055,2055.0,Aguilas,Aguilas
2056,2056.0,Air Force Central,Air Force Central
2057,2057.0,Ajax Cape Town,Ajax Cape Town
2058,2058.0,Akropolis IF,Akropolis
2059,2059.0,Akzhayik Oral,FK Akzhayik
2060,2060.0,Al Ahli Jeddah,Al Ahli SC
2061,2061.0,Al Baqaa,Al Buqaa
2062,2062.0,Al Faisaly Harmah,Al-Faisaly
2063,2063.0,Al Ittihad Jeddah,Al-Ittihad FC
2064,2064.0,Al Ittihad Kalba,Ittihad Kalba
2065,2065.0,Al Oruba Sur,Al Oruba
2066,2066.0,Al Qadsia,Al Qadisiya
2067,2067.0,Al Rayyan,Al Rayyan
2068,2068.0,Al Shabab Oman,Shabab Al-Dhahiriya
2069,2069.0,Alfredo Salinas,Alfredo Salinas
2070,2070.0,Algeciras,Algeciras
2071,2071.0,Alianza Lima,Alianza Lima
2072,2072.0,Almere City,Almere City
2073,2073.0,Alta If,Alta
2074,2074.0,Anzhi Makhachkala,FK Anzi Makhackala
2075,2075.0,Arab Contractors,Arab Contractors
2076,2076.0,Argentinos Juniors,Argentinos Jrs
2077,2077.0,Asane Fotball U19,Asane U19
2078,2078.0,Assyriska IK,Assyriska IK
2079,2079.0,Athletic Bilbao,Ath Bilbao
2080,2080.0,Atletico Bembibre,Bembibre
2081,2081.0,Atletico Levante UD,Levante B
2082,2082.0,Atletico Madrid B,Atl. Madrid B
2083,2083.0,Atletico Sanluqueno,Sanluqueno
2084,2084.0,Austria Klagenfurt,A. Klagenfurt
2085,2085.0,BK Forward,Forward
2086,2086.0,Balmazujvarosi FC,Balmazujvaros Sport
2087,2087.0,Bangkok United,Bangkok Utd
2088,2088.0,Banik Ostrava U19,Ostrava U19
2089,2089.0,Baroka,Baroka
2090,2090.0,Black Leopards,Black Leopards
2091,2091.0,Blooming,Blooming
2092,2092.0,Bourg en Bresse Peronnas 01,Bourg Peronnas
2093,2093.0,Brescia,Brescia
2094,2094.0,Bruk Bet Termalica Nieciecza,Termalica B-B.
2095,2095.0,Bryne,Bryne
2096,2096.0,Budaiya (N),Al-Budaiya
2097,2097.0,CD Alcoyano,Alcoyano
2098,2098.0,CD El Ejido,El Ejido
2099,2099.0,CD Guadalajara,Guadalajara
2100,2100.0,CD Lealtad,Lealtad
2101,2101.0,CD Llosetense,Llosetense
2102,2102.0,CD Lugo,Lugo
2103,2103.0,CD Madridejos,Madridejos
2104,2104.0,CD Vicalvaro,Vicalvaro
2105,2105.0,CF Calamocha,Calamocha
2106,2106.0,CF Fuenlabrada,Fuenlabrada
2107,2107.0,CF La Solana,La Solana
2108,2108.0,CF Villanovense,Villanovense
2109,2109.0,CSD Flandria,Flandria
2110,2110.0,Cartagena,Cartagena
2111,2111.0,Cerezo Osaka,C-Osaka
2112,2112.0,Cerezo Osaka Sakai (W),C-Osaka W
2113,2113.0,Chaco For Ever,Chaco For Ever
2114,2114.0,Charlton Athletic,Charlton
2115,2115.0,Chertanovo Moscow II,Chertanovo M. 2
2116,2116.0,Chrobry Glogow,Chrobry Glogow
2117,2117.0,Club Atletico Talleres,Talleres (R.E)
2118,2118.0,Club Deportivo Arabe Unido,Arabe Unido
2119,2119.0,Club Sportivo Barracas,Sportivo Barracas
2120,2120.0,Connahs Quay Nomads,Connahs Q.
2121,2121.0,Csakvar,Csakvari
2122,2122.0,DFK Dainava,Dainava Alytus
2123,2123.0,De Graafschap,Graafschap
2124,2124.0,De Graafschap Doetinchem (R),Jong De Graafschap
2125,2125.0,Deportivo Capiata,Dep. Capiata
2126,2126.0,Desna Chernihiv,Desna
2127,2127.0,Dijon,Dijon
2128,2128.0,Dinamo Brest,Brest
2129,2129.0,Dinamo Minsk,Din. Minsk
2130,2130.0,Dinamo Tbilisi (N),Dinamo Tbilisi
2131,2131.0,Dnepr Mogilev,Dnepr Mogilev
2132,2132.0,Dordrecht (R),Jong Dordrecht
2133,2133.0,Dukla Praha,Dukla Prague
2134,2134.0,EIF Ekenas,Ekenas
2135,2135.0,El Gouna FC,El Gounah
2136,2136.0,Elfsborg,Elfsborg
2137,2137.0,FC Ararat Armenia,Ararat-Armenia
2138,2138.0,FC Cartagena B,Cartagena B
2139,2139.0,FC Fredericia,Fredericia
2140,2140.0,FC Gifu,Gifu
2141,2141.0,FC Hlucin,Hlucin
2142,2142.0,FC Krasnodar III,Krasnodar 3
2143,2143.0,FC Kuressaare,Kuressaare
2144,2144.0,FC Mariupol U21,Mariupol U21
2145,2145.0,FC Odra Petrkovice,Odra Petrkovice
2146,2146.0,FC Prykarpattia,Prykarpattya
2147,2147.0,FC Red Star Zurich,Red Star Zurich
2148,2148.0,FC Rustavi,Rustavi
2149,2149.0,FC Vitebsk,Vitebsk
2150,2150.0,FK Chertanovo II,Chertanovo M. 2
2151,2151.0,FK Dainava Alytus,Dainava Alytus
2152,2152.0,FK Pardubice,FK Pardubice
2153,2153.0,FK Sindelic Beograd,Sindjelic Beograd
2154,2154.0,FLC Thanh Hoa,Thanh Hoa
2155,2155.0,Farul Constanta,F. Constanta
2156,2156.0,Farul Constanta (N),F. Constanta
2157,2157.0,Ferencvarosi TC (W),Ferencvaros W
2158,2158.0,Fredericia,Fredericia
2159,2159.0,Frosinone,Frosinone
2160,2160.0,Gd Mirandes,Mirandes
2161,2161.0,Gefle IF,Gefle
2162,2162.0,Getafe B,Getafe B
2163,2163.0,Gimnasia La Plata,Gimnasia L.P.
2164,2164.0,Gimnasia Y Tiro,Gimnasia y Tiro
2165,2165.0,Girondins Bordeaux II,Bordeaux II
2166,2166.0,Guangzhou RF,Guangzhou R&F
2167,2167.0,Hannover 96,Hannover
2168,2168.0,Hansa Rostock,Hansa Rostock
2169,2169.0,Hapoel Akko,H. Akko
2170,2170.0,Hapoel Iksal Imad,Hapoel Iksal Imad
2171,2171.0,Hapoel Raanana,H. Raanana
2172,2172.0,Heracles Almelo,Heracles
2173,2173.0,Heracles Almelo (R),Jong Heracles
2174,2174.0,Hermannstadt,FC Hermannstadt
2175,2175.0,Hlucin,Hlucin
2176,2176.0,Honka Espoo (W),Honka W
2177,2177.0,IFK Hassleholm,IFK Hassleholm
2178,2178.0,Ik Frej,Frej
2179,2179.0,Irtysh Pavlodar,I. Pavlodar
2180,2180.0,Ismaily SC,El Ismaily
2181,2181.0,JK Tallinna Kalev III,Tallinna Kalev U21
2182,2182.0,Jabal Al Mukaber,Jabal Al Mukaber
2183,2183.0,Jadran Dekani,Jadran Dekani
2184,2184.0,Juventud Unida De Gualeguaychu,CDJU Gualeguaychu
2185,2185.0,KaPa,KaPa
2186,2186.0,Kairat Almaty,K. Almaty
2187,2187.0,Karlovy Vary,Karlovy Vary
2188,2188.0,Kazincbarcika BSC,Kazincbarcikai
2189,2189.0,Khimki II,Khimki 2
2190,2190.0,Krasnodar III,Krasnodar 3
2191,2191.0,Kristianstads DFF (W),Kristianstads W
2192,2192.0,LHospitalet,L Hospitalet
2193,2193.0,LR Vicenza Virtus,L.R. Vicenza
2194,2194.0,Leones Negros,Leones Negros
2195,2195.0,Levanger FK B,Levanger 2
2196,2196.0,Libertad Asuncion,Libertad Asuncion
2197,2197.0,Lille OSC II,Lille II
2198,2198.0,Ljungskile,Ljungskile
2199,2199.0,Llaneros SA,Llaneros
2200,2200.0,Lokomotiv Oslo,Lokomotiv Oslo
2201,2201.0,Lokomotiv Tashkent,Lok. Tashkent
2202,2202.0,Lovcen Cetinje,Lovcen
2203,2203.0,Lyon,Lyon
2204,2204.0,MFK Ruzomberok,Ruzomberok
2205,2205.0,Malaga (W),Malaga W
2206,2206.0,Mashuk KMV Pyatigorsk,Mashuk
2207,2207.0,Minsk,FC Minsk
2208,2208.0,Misr Lel Makasa (N),Misr Elmaqasah
2209,2209.0,Mjallby,Mjallby
2210,2210.0,Molde FK B,Molde 2
2211,2211.0,Molde FK II,Molde 2
2212,2212.0,Montpellier,Montpellier
2213,2213.0,NAC Breda (R),Jong NAC Breda
2214,2214.0,NEC Nijmegen (R),Jong Nijmegen
2215,2215.0,NJS Nurmijarvi,NJS
2216,2216.0,NK Osijek II,Osijek 2
2217,2217.0,NK Zadar,Zadar
2218,2218.0,Nakhon Ratchasima,Nakhon Ratchasima
2219,2219.0,Nantong Zhiyun,Nantong Zhiyun
2220,2220.0,Norwich City,Norwich
2221,2221.0,Oleksandria U21,Oleksandriya U21
2222,2222.0,Oxford United,Oxford Utd
2223,2223.0,PAS Lamia,Lamia
2224,2224.0,Pacos de Ferreira,Ferreira
2225,2225.0,Paris Saint Germain (W),Paris SG W
2226,2226.0,Pars Jonoubi Jam,Pars Janoobi Jam
2227,2227.0,Pattaya United,Pattaya Utd
2228,2228.0,Pittsburgh Riverhounds,Pittsburgh
2229,2229.0,Ponte Preta SP,Ponte Preta
2230,2230.0,Proleter Novi Sad,Proleter
2231,2231.0,Puskas Akademia,Puskas Academy
2232,2232.0,Pyunik (N),Pyunik Yerevan
2233,2233.0,Rakvere JK Tarvas,Rakvere
2234,2234.0,Rayo Vallecano B,Rayo Vallecano B
2235,2235.0,Real Monarchs,Real Monarchs
2236,2236.0,Real Sociedad III,Real Sociedad C
2237,2237.0,Rotor Volgograd II,R. Volgograd 2
2238,2238.0,SD Zamudio,Zamudio
2239,2239.0,SK Lisen,Lisen
2240,2240.0,SKU Amstetten,Amstetten
2241,2241.0,Salernitana,Salernitana
2242,2242.0,Santiago Morning,S. Morning
2243,2243.0,Santos de Guapiles (N),Santos DG
2244,2244.0,Santutxu FC,Santuxu
2245,2245.0,Schiltigheim,Schiltigheim
2246,2246.0,Sepahan,Sepahan
2247,2247.0,Sestao River Club,Sestao
2248,2248.0,Silva SD,Silva SD
2249,2249.0,Slask Wroclaw U18,Slask U18
2250,2250.0,Sloboda Tuzla,Sloboda
2251,2251.0,Sogndal,Sogndal
2252,2252.0,Sohar SC,Sohar
2253,2253.0,Southend United,Southend
2254,2254.0,St Anns Rangers (N),S.A. Rangers
2255,2255.0,St Joseph`s FC,St Josephs
2256,2256.0,Stabaek II,Stabaek 2
2257,2257.0,Stal Stalowa Wola,S. Wola
2258,2258.0,Strommen IF,Strommen
2259,2259.0,Stumbras B,Stumbras 2
2260,2260.0,Suduva Marijampole,Suduva
2261,2261.0,Sumgayit,SumQayit
2262,2262.0,Sydvest 05 Tonder,Sydvest
2263,2263.0,TP 47,TP-47
2264,2264.0,Tours,Tours
2265,2265.0,Trapani,Trapani
2266,2266.0,Trujillanos,Trujillanos
2267,2267.0,UD Ibiza,UD Ibiza-Eivissa
2268,2268.0,UD Logrones,UD Logrones
2269,2269.0,US Arezzo,Arezzo
2270,2270.0,US Endoume Marseille,Marseille Endoume
2271,2271.0,USL Dunkerque,Dunkerque
2272,2272.0,Universidad Catolica del Ecuador,U. Catolica
2273,2273.0,Universitario Sucre,U. Sucre
2274,2274.0,Urawa Red Diamonds,Urawa
2275,2275.0,VC Eendracht Aalst 2002,Aalst
2276,2276.0,VIFK Vaasa,VIFK
2277,2277.0,Vac,Vac
2278,2278.0,Vac FC,Vac
2279,2279.0,Velke Mezirici,Velke Mezirici
2280,2280.0,Viking,Viking
2281,2281.0,Vikingur Olafsvik,Olafsvik
2282,2282.0,Villarreal C,Villarreal C
2283,2283.0,Vojvodina Novi Sad,Vojvodina
2284,2284.0,Willem II Tilburg (R),Jong Willem II
2285,2285.0,Wisla Krakow,Wisla
2286,2286.0,Yague CF,Yague
2287,2287.0,Yeclano Deportivo,Yeclano
2288,2288.0,Zamudio SD,Zamudio
2289,2289.0,Znicz Pruszkow,Pruszkow
2290,2290.0,ADO Den Haag (R),Jong Den Haag
2291,2291.0,AEK Larnaca,AEK Larnaca
2292,2292.0,AS Saint Etienne,St Etienne
2293,2293.0,Al Baten,Al Batin
2294,2294.0,Al Kawkab,Al-Kawkab
2295,2295.0,Al Najma Manama (N),Al-Najma
2296,2296.0,Al Salmiyah,Al Salmiya
2297,2297.0,Al Shabab Al Ahmadi,Al Shabab
2298,2298.0,Al Tai,Al Taee
2299,2299.0,Amiens,Amiens
2300,2300.0,Arsenal Kyiv,Arsenal Kiev
2301,2301.0,Atletico Baleares,Baleares
2302,2302.0,Atletico Cali,Atletico F.C.
2303,2303.0,Atletico Paranaense,Atletico-PR
2304,2304.0,Austria Wien,Austria Vienna
2305,2305.0,Bala Town,Bala
2306,2306.0,Balmazujvarosi,Balmazujvaros Sport
2307,2307.0,Banfield,Banfield
2308,2308.0,Basaksehir,Basaksehir
2309,2309.0,Baztan,CD Baztan
2310,2310.0,Botev Plovdiv,Botev Plovdiv
2311,2311.0,Brattvag IL,Brattvag
2312,2312.0,Bromley FC,Bromley
2313,2313.0,Burgos Promesas 2000,Burgos Promesas
2314,2314.0,CA Huracan Las Heras,Huracan Las Heras
2315,2315.0,CA San Miguel (N),San Miguel
2316,2316.0,CD Azuqueca,Azuqueca
2317,2317.0,CD Castellon,Castellon
2318,2318.0,CD Cieza,Ciudad Cieza
2319,2319.0,CD Ibiza Islas Pitiusas,Ibiza Islas Pitiusas
2320,2320.0,CD Mostoles URJC,CD Mostoles
2321,2321.0,CF Lorca Deportiva,Lorca Deportiva
2322,2322.0,CF Rayo Majadahonda,Rayo Majadahonda
2323,2323.0,CSKA Moscow U21,CSKA Moscow U21
2324,2324.0,CSKA Sofia,CSKA Sofia
2325,2325.0,Chainat FC,Chainat
2326,2326.0,Chelyabinsk,Chelyabinsk
2327,2327.0,Chemelil Sugar,Chemelil
2328,2328.0,Chippa United,Chippa Utd.
2329,2329.0,Club Atletico Torque (N),CA Torque
2330,2330.0,Cultural Leonesa,Leonesa
2331,2331.0,Defence Force FC (N),Defence Force
2332,2332.0,Deportivo Chiantla (N),Deportivo Chiantla
2333,2333.0,EC Granollers,Granollers
2334,2334.0,Esperance Tunis,Esperance Tunis
2335,2335.0,Espoo,Espoo
2336,2336.0,Estudiantes De Caracas,Estudiantes Caracas
2337,2337.0,Etar Veliko Tarnovo,Etar
2338,2338.0,FC Emmen (R),Jong FC Emmen
2339,2339.0,FC Tokyo,FC Tokyo
2340,2340.0,FK Koralas Klaipeda,Koralas Klaipeda
2341,2341.0,FK Tatran Liptovsky Mikulas,L. Mikulas
2342,2342.0,Feyenoord (R),Jong Feyenoord
2343,2343.0,GBK Kokkola,GBK Kokkola
2344,2344.0,Gimnastic,Gimnastic
2345,2345.0,Grbalj Radanovici,Grbalj
2346,2346.0,Guillermo Brown,Guillermo Brown
2347,2347.0,Hanacka Slavia Kromeriz,Kromeriz
2348,2348.0,Helsingor,Helsingor
2349,2349.0,IK Sirius,Sirius
2350,2350.0,IL Sandviken Bergen (W),Sandviken W
2351,2351.0,Jammerbugt Fc,Jammerbugt
2352,2352.0,Jong Ajax Amsterdam,Jong Ajax
2353,2353.0,Jumilla,Jumilla
2354,2354.0,KS SKRA Czestochowa,Skra
2355,2355.0,Kapfenberger SV,Kapfenberg
2356,2356.0,Kfum Oslo,K. Oslo
2357,2357.0,Kjelsas Fotball,Kjelsas
2358,2358.0,Klepp (W),Klepp W
2359,2359.0,Kolbotn (W),Kolbotn W
2360,2360.0,Kufstein,Kufstein
2361,2361.0,Lleida Esportiu,Lleida
2362,2362.0,Lokomotiv Moscow U21,Lokomotiv Moscow U21
2363,2363.0,Marbella FC,Marbella
2364,2364.0,Mineros De Guayana,Mineros
2365,2365.0,Montevarchi,Montevarchi Calcio
2366,2366.0,Muharraq Club,Al-Muharraq
2367,2367.0,NK Lucko,Lucko
2368,2368.0,Naestved,Naestved
2369,2369.0,Nassaji Mazandaran,Nassaji Mazandaran
2370,2370.0,New York City FC,New York City
2371,2371.0,OGC Nice II,Nice II
2372,2372.0,PK 35 Vantaa (W),PK-35 Vantaa W
2373,2373.0,Padova,Padova
2374,2374.0,Palestino,Palestino
2375,2375.0,Persebaya Surabaya,Persebaya
2376,2376.0,Pieta Hotspurs,Pieta Hotspurs
2377,2377.0,Pogon Siedlce,Pogon Siedlce
2378,2378.0,QNK Quang Nam FC,BHTS Quang Nam
2379,2379.0,Racing de Ferrol,Ferrol
2380,2380.0,Rangers de Talca,Rangers
2381,2381.0,Rapid Vienna Ii,SK Rapid Vienna (Am)
2382,2382.0,Real Balompedica Linense,Linense
2383,2383.0,Real Murcia,Murcia
2384,2384.0,Rekord Bielsko Biala,Bielsko-Biala
2385,2385.0,Reno 1868,Reno
2386,2386.0,Rodez Aveyron (W),Rodez W
2387,2387.0,Rozwoj Katowice,Rozwoj Katowice
2388,2388.0,SC Praiense,SC Praiense
2389,2389.0,SCR Altach AM,Altach (Am)
2390,2390.0,SM Caen,Caen
2391,2391.0,San Jorge Tucuman,San Jorge
2392,2392.0,San Jose Oruro,San Jose
2393,2393.0,Sanna Khanh Hoa BVN,Khanh Hoa
2394,2394.0,Santa Tecla FC,Santa Tecla
2395,2395.0,Shamrock Rovers,Shamrock Rovers
2396,2396.0,Shelbourne,Shelbourne
2397,2397.0,Slagelse Boldklub IF,Slagelse B&I
2398,2398.0,Slask Wroclaw,Slask Wroclaw
2399,2399.0,Spartak Moscow,Spartak Moscow
2400,2400.0,Sportivo Desamparados,Desamparados
2401,2401.0,Strogino Moscow,FK Strogino Moscow
2402,2402.0,Stromsgodset,Stromsgodset
2403,2403.0,Supersport United,Supersport Utd
2404,2404.0,TJ Jiskra Domazlice,Domazlice
2405,2405.0,UD Melilla,Melilla
2406,2406.0,UMF Njardvik,Njardvik
2407,2407.0,Valledupar,Valledupar
2408,2408.0,Vanlose IF,Vanlose
2409,2409.0,Vard Haugesund,V. Haugesund
2410,2410.0,Villa Santa Brigida,Villa Santa Brigida
2411,2411.0,Vozdovac Belgrade,FK Vozdovac
2412,2412.0,Yeni Malatyaspor,Yeni Malatyaspor
2413,2413.0,Zhejiang Yiteng,Zhejiang Yiteng
2414,2414.0,AC Renate,Renate
2415,2415.0,AD Almudevar,Almudevar
2416,2416.0,ADO Den Haag (W),Den Haag W
2417,2417.0,ASD Calcio Cittanovese,Cittanovese
2418,2418.0,ASD Team Altamura,Altamura
2419,2419.0,ASF Andrezieux,Andrezieux
2420,2420.0,ASK BSC Bruck Leitha,Bruck Leitha
2421,2421.0,AZS PSW Biala Podlaska (W),Biala Podlaska W
2422,2422.0,Admira Juniors,Admira (Am)
2423,2423.0,Afan Lido,Afan Lido
2424,2424.0,Albirex Niigata (W),Albirex Niigata W
2425,2425.0,Almeria B,Almeria B
2426,2426.0,Alta,Alta
2427,2427.0,Arema,Arema FC
2428,2428.0,Argentino De Rosario,Argentino de Rosario
2429,2429.0,Arnett Gardens,Arnett Gardens
2430,2430.0,Asco,Asco
2431,2431.0,Assyriska BK,Assyriska BK
2432,2432.0,Astana,FC Astana
2433,2433.0,Athletic Bilbao (W),Athletic Bilbao W
2434,2434.0,Atletico Bucaramanga,Bucaramanga
2435,2435.0,Atletico Madrid (W),Atl. Madrid W
2436,2436.0,Atletico Mancha Real,Mancha
2437,2437.0,Atletico Union De Guimar,Atletico Union Guimar
2438,2438.0,Atyrau,Atyrau
2439,2439.0,Atzeneta UE,Atzeneta
2440,2440.0,Auckland City,Auckland City
2441,2441.0,Aurora Pro Patria,Pro Patria
2442,2442.0,B93 Copenhagen (W),B93 W
2443,2443.0,Badajoz,CD Badajoz
2444,2444.0,Bahia BA (N),Bahia
2445,2445.0,Barakaldo,Barakaldo
2446,2446.0,Basel II,Basel II
2447,2447.0,Beti Kozkor KE,Beti Kozkor
2448,2448.0,Betis Deportivo,Betis B
2449,2449.0,Betis Deportivo Balompie,Betis B
2450,2450.0,Borneo,Pusamania Borneo
2451,2451.0,CA Barracas Central,Barracas Central
2452,2452.0,CA Pinto,Atletico Pinto
2453,2453.0,CA Racing Cordoba,Racing Cordoba
2454,2454.0,CD Arenteiro,Arenteiro
2455,2455.0,CD Atletico Tordesillas,Atl. Tordesillas
2456,2456.0,CD Avance Ezcabarte,Ezcabarte
2457,2457.0,CD Basconia,Basconia
2458,2458.0,CD Beti Onak,Beti Onak
2459,2459.0,CD Corellano,CD Corellano
2460,2460.0,CD Cortes,Cortes
2461,2461.0,CD Diocesano,Diocesano
2462,2462.0,CD Eldense,Eldense
2463,2463.0,CD La Serena,La Serena
2464,2464.0,CD Llanes,Llanes
2465,2465.0,CD Manchego Ciudad Real,Ciudad Real
2466,2466.0,CD Motagua,Motagua
2467,2467.0,CD Olimpia (N),Olimpia
