MatchID,Handicap,0,1,Timestamp
1562868529,0.0,2.710,1.390,2022-11-10 12:04:04
1562868529,-0-0.5,2.150,1.632,2022-11-10 12:04:04
1562868529,-0.5,1.909,1.925,2022-11-10 12:04:04
1562868529,-0.5-1,1.645,2.130,2022-11-10 12:04:04
1562868529,-1.0,1.427,2.590,2022-11-10 12:04:04
1562868529,0.0,2.710,1.390,2022-11-10 12:40:03
1562868529,-0-0.5,2.150,1.632,2022-11-10 12:40:03
1562868529,-0.5,1.909,1.925,2022-11-10 12:40:03
1562868529,-0.5-1,1.645,2.130,2022-11-10 12:40:03
1562868529,-1.0,1.427,2.590,2022-11-10 12:40:03
1562868529,0.0,2.640,1.467,2022-11-11 00:37:46
1562868529,-0-0.5,2.110,1.729,2022-11-11 00:37:46
1562868529,-0.5,1.847,1.990,2022-11-11 00:37:46
1562868529,-0.5-1,1.628,2.280,2022-11-11 00:37:46
1562868529,-1.0,1.414,2.820,2022-11-11 00:37:46
1562868529,0.0,2.990,1.374,2022-11-11 00:51:46
1562868529,-0-0.5,2.330,1.606,2022-11-11 00:51:46
1562868529,-0.5,2.000,1.840,2022-11-11 00:51:46
1562868529,-0.5-1,1.751,2.080,2022-11-11 00:51:46
1562868529,-1.0,1.512,2.500,2022-11-11 00:51:46
1562868529,0.0,2.720,1.440,2022-11-11 01:01:54
1562868529,-0-0.5,2.160,1.694,2022-11-11 01:01:54
1562868529,-0.5,1.884,1.952,2022-11-11 01:01:54
1562868529,-0.5-1,1.657,2.230,2022-11-11 01:01:54
1562868529,-1.0,1.436,2.740,2022-11-11 01:01:54
1562868529,0.0,2.720,1.440,2022-11-11 02:46:16
1562868529,-0-0.5,2.160,1.694,2022-11-11 02:46:16
1562868529,-0.5,1.884,1.952,2022-11-11 02:46:16
1562868529,-0.5-1,1.657,2.230,2022-11-11 02:46:16
1562868529,-1.0,1.436,2.740,2022-11-11 02:46:16
1562868529,0.0,2.720,1.440,2022-11-11 05:37:20
1562868529,-0-0.5,2.160,1.694,2022-11-11 05:37:20
1562868529,-0.5,1.884,1.952,2022-11-11 05:37:20
1562868529,-0.5-1,1.657,2.230,2022-11-11 05:37:20
1562868529,-1.0,1.436,2.740,2022-11-11 05:37:20
1562868529,0.0,2.720,1.440,2022-11-11 11:47:36
1562868529,-0-0.5,2.160,1.694,2022-11-11 11:47:36
1562868529,-0.5,1.884,1.952,2022-11-11 11:47:36
