MatchID,x,1,2,Timestamp
1124895,9.26,1.147,20.90,2022-11-15 07:58:17
1124895,9.26,1.147,20.90,2022-11-15 08:09:51
1069731784,3.04,2.374,3.417,2022-11-15 08:10:14
1124895,8.562,1.147,17.92,2022-11-15 08:13:56
1125355,3.81,2.334,2.852,2022-11-15 08:14:14
1124895,9.159,1.147,19.41,2022-11-15 08:18:59
1124895,8.562,1.147,17.92,2022-11-15 08:20:11
1124895,8.562,1.147,17.00,2022-11-15 08:28:54
1124895,8.69,1.147,17.66,2022-11-15 08:48:25
1124895,8.562,1.147,17.00,2022-11-15 08:49:44
1124895,8.69,1.147,17.66,2022-11-15 09:32:56
1124895,8.562,1.147,17.00,2022-11-15 09:34:15
1124895,8.562,1.156,17.00,2022-11-15 09:44:24
1124895,9.159,1.156,18.41,2022-11-15 09:49:10
1124895,9.159,1.147,18.41,2022-11-15 09:52:48
-818990875,3.95,4.30,1.58,2022-11-15 09:57:07
-818990875,4.00,4.30,1.57,2022-11-15 09:58:21
-818990875,3.80,4.40,1.59,2022-11-15 10:03:28
1125355,3.84,2.334,2.852,2022-11-15 10:04:34
1124895,9.26,1.147,20.90,2022-11-15 10:04:57
-818990875,3.70,4.60,1.58,2022-11-15 10:05:43
1125355,3.81,2.334,2.852,2022-11-15 10:06:07
1124895,9.159,1.147,18.41,2022-11-15 10:06:29
-818990875,3.75,4.55,1.58,2022-11-15 10:14:39
-818990875,3.85,4.35,1.59,2022-11-15 10:15:57
-818990875,3.85,4.45,1.57,2022-11-15 10:22:09
-818990875,3.85,4.55,1.56,2022-11-15 10:24:58
1124895,9.26,1.147,20.90,2022-11-15 10:29:40
-818990875,3.85,4.59,1.602,2022-11-15 10:29:40
1125355,3.84,2.334,2.852,2022-11-15 10:30:04
1124895,9.159,1.147,18.41,2022-11-15 10:30:24
-818990875,3.85,4.55,1.56,2022-11-15 10:30:24
1125355,3.81,2.334,2.852,2022-11-15 10:31:26
1124895,8.562,1.153,17.00,2022-11-15 10:32:59
1124895,8.562,1.153,16.92,2022-11-15 10:34:14
