MatchID,Over,0,1,Timestamp
1562868529,2.0,1.396,2.660,2022-11-10 12:04:04
1562868529,2-2.5,1.621,2.150,2022-11-10 12:04:04
1562868529,2.5,1.892,1.925,2022-11-10 12:04:04
1562868529,2.5-3,2.070,1.671,2022-11-10 12:04:04
1562868529,3.0,2.440,1.467,2022-11-10 12:04:04
1562868529,2.0,1.396,2.660,2022-11-10 12:40:03
1562868529,2-2.5,1.621,2.150,2022-11-10 12:40:03
1562868529,2.5,1.892,1.925,2022-11-10 12:40:03
1562868529,2.5-3,2.070,1.671,2022-11-10 12:40:03
1562868529,3.0,2.440,1.467,2022-11-10 12:40:03
1562868529,2.0,1.425,2.740,2022-11-11 00:37:46
1562868529,2-2.5,1.662,2.200,2022-11-11 00:37:46
1562868529,2.5,1.900,1.917,2022-11-11 00:37:46
1562868529,2.5-3,2.130,1.704,2022-11-11 00:37:46
1562868529,3.0,2.530,1.490,2022-11-11 00:37:46
1562868529,2.0,1.411,2.800,2022-11-11 00:51:46
1562868529,2-2.5,1.641,2.240,2022-11-11 00:51:46
1562868529,2.5,1.869,1.943,2022-11-11 00:51:46
1562868529,2.5-3,2.100,1.724,2022-11-11 00:51:46
1562868529,3.0,2.480,1.510,2022-11-11 00:51:46
1562868529,2.0,1.423,2.750,2022-11-11 01:01:54
1562868529,2-2.5,1.657,2.200,2022-11-11 01:01:54
1562868529,2.5,1.892,1.925,2022-11-11 01:01:54
1562868529,2.5-3,2.130,1.704,2022-11-11 01:01:54
1562868529,3.0,2.530,1.492,2022-11-11 01:01:54
1562868529,2.0,1.423,2.750,2022-11-11 02:46:16
1562868529,2-2.5,1.657,2.200,2022-11-11 02:46:16
1562868529,2.5,1.892,1.925,2022-11-11 02:46:16
1562868529,3.0,2.530,1.492,2022-11-11 02:46:16
1562868529,2.0,1.423,2.750,2022-11-11 05:37:20
1562868529,2-2.5,1.657,2.200,2022-11-11 05:37:20
1562868529,2.5,1.892,1.925,2022-11-11 05:37:20
1562868529,2.5-3,2.130,1.704,2022-11-11 05:37:20
1562868529,3.0,2.530,1.492,2022-11-11 05:37:20
1562868529,2.0,1.423,2.750,2022-11-11 11:47:36
1562868529,2-2.5,1.657,2.200,2022-11-11 11:47:36
1562868529,2.5,1.892,1.925,2022-11-11 11:47:36
1562868529,2.5-3,2.130,1.704,2022-11-11 11:47:36
1562868529,3.0,2.530,1.492,2022-11-11 11:47:36
1562868529,2.0,1.423,2.750,2022-11-11 15:15:23
1562868529,2-2.5,1.657,2.200,2022-11-11 15:15:23
1562868529,2.5,1.892,1.925,2022-11-11 15:15:23
1562868529,2.5-3,2.130,1.704,2022-11-11 15:15:23
1562868529,3.0,2.530,1.492,2022-11-11 15:15:23
1562868529,2.0,1.423,2.750,2022-11-13 00:06:46
1562868529,2-2.5,1.657,2.200,2022-11-13 00:06:46
1562868529,2.5,1.892,1.925,2022-11-13 00:06:46
1562868529,2.5-3,2.130,1.704,2022-11-13 00:06:46
1562868529,3.0,2.530,1.492,2022-11-13 00:06:46
1563026767,1.5,1.288,3.610,2022-11-13 00:06:46
1563026767,2.5,1.877,1.961,2022-11-13 00:06:46
1563026767,2.0,1.438,2.840,2022-11-13 00:06:46
1563026767,2-2.5,1.653,2.260,2022-11-13 00:06:46
1563026767,2.5-3,2.110,1.746,2022-11-13 00:06:46
1563026767,3.0,2.520,1.537,2022-11-13 00:06:46
1563026767,3.5,3.150,1.361,2022-11-13 00:06:46
1563026767,4.5,6.060,1.130,2022-11-13 00:06:46
1563108486,0.5,1.112,6.640,2022-11-13 00:06:46
1563108486,2.0,1.877,1.952,2022-11-13 00:06:46
1563108486,1.5,1.500,2.630,2022-11-13 00:06:46
1563108486,1.5-2,1.636,2.290,2022-11-13 00:06:46
1563108486,2.5,2.530,1.534,2022-11-13 00:06:46
1563108486,2-2.5,2.200,1.684,2022-11-13 00:06:46
1563108486,3.5,5.090,1.169,2022-11-13 00:06:46
1562868529,2.0,1.423,2.750,2022-11-13 00:34:31
1562868529,2-2.5,1.657,2.200,2022-11-13 00:34:31
1562868529,2.5,1.892,1.925,2022-11-13 00:34:31
1562868529,2.5-3,2.130,1.704,2022-11-13 00:34:31
1562868529,3.0,2.530,1.492,2022-11-13 00:34:31
1563026767,1.5,1.288,3.610,2022-11-13 00:34:31
1563026767,2.5,1.877,1.961,2022-11-13 00:34:31
1563026767,2.0,1.438,2.840,2022-11-13 00:34:31
1563026767,2-2.5,1.653,2.260,2022-11-13 00:34:31
1563026767,2.5-3,2.110,1.746,2022-11-13 00:34:31
1563026767,3.0,2.520,1.537,2022-11-13 00:34:31
1563026767,3.5,3.150,1.361,2022-11-13 00:34:31
1563026767,4.5,6.060,1.130,2022-11-13 00:34:31
1563108486,0.5,1.112,6.640,2022-11-13 00:42:16
1563108486,2.0,1.877,1.952,2022-11-13 00:42:16
1563108486,1.5,1.500,2.630,2022-11-13 00:42:16
1563108486,1.5-2,1.636,2.290,2022-11-13 00:42:16
1563108486,2.5,2.530,1.534,2022-11-13 00:42:16
1563108486,2-2.5,2.200,1.684,2022-11-13 00:42:16
1563108486,3.5,5.090,1.169,2022-11-13 00:42:16
1562868529,2.0,1.421,2.760,2022-11-13 20:12:09
1562868529,2-2.5,1.653,2.210,2022-11-13 20:12:09
1562868529,2.5,1.892,1.925,2022-11-13 20:12:09
